ÆµÂÊ,²åÈëËðºÄ(dBm),
50,-2.9,
90,-3.15,
130,-3.13,
169,-3.35,
209,-3.55,
249,-3.46,
289,-3.71,
328,-3.76,
368,-3.73,
408,-4.04,
448,-4.13,
487,-4.11,
527,-4.29,
567,-4.29,
607,-4.47,
646,-4.56,
686,-4.62,
726,-4.66,
766,-4.71,
805,-4.75,
845,-4.86,
885,-4.91,
925,-5.02,
964,-4.98,
1004,-5.05,
1044,-5.07,
1084,-5.21,
1123,-5.16,
1163,-5.22,
1203,-5.22,
1243,-5.34,
1282,-5.35,
1322,-5.44,
1362,-5.41,
1402,-5.54,
1441,-5.55,
1481,-5.7,
1521,-5.68,
1561,-5.7,
1600,-5.74,
1640,-5.73,
1680,-5.78,
1720,-5.91,
1759,-5.87,
1799,-5.99,
1839,-5.96,
1879,-6.08,
1918,-6.04,
1958,-6.1,
1998,-6.08,
2038,-6.11,
2077,-6.18,
2117,-6.21,
2157,-6.23,
2197,-6.3,
2236,-6.18,
2276,-6.38,
2316,-6.3,
2356,-6.56,
2395,-6.58,
2435,-6.47,
2475,-6.45,
2515,-6.4,
2554,-6.75,
2594,-6.78,
2634,-6.75,
2674,-6.7,
2713,-6.74,
2753,-6.98,
2793,-6.89,
2833,-6.93,
2872,-7.04,
2912,-7.02,
2952,-7.3,
2992,-7.23,
3031,-7.14,
3071,-7.2,
3111,-7.14,
3151,-7.37,
3190,-7.46,
3230,-7.41,
3270,-7.41,
3310,-7.36,
3349,-7.51,
3389,-7.52,
3429,-7.62,
3469,-7.6,
3508,-7.53,
3548,-7.59,
3588,-7.7,
3628,-7.71,
3667,-7.74,
3707,-7.7,
3747,-7.77,
3787,-7.86,
3826,-7.92,
3866,-7.96,
3906,-7.95,
3946,-7.93,
3985,-7.99,
4025,-8.12,
4065,-8.28,
4105,-8.26,
4144,-8.24,
4184,-8.24,
4224,-8.29,
4264,-8.39,
4303,-8.44,
4343,-8.48,
4383,-8.45,
4423,-8.44,
4462,-8.54,
4502,-8.57,
4542,-8.59,
4582,-8.65,
4621,-8.63,
4661,-8.75,
4701,-8.8,
4741,-8.77,
4780,-8.81,
4820,-8.87,
4860,-9,
4900,-9.08,
4939,-9.07,
4979,-9.11,
5019,-9.16,
5059,-9.3,
5098,-9.46,
5138,-9.5,
5178,-9.57,
5218,-9.54,
5257,-9.62,
5297,-9.86,
5337,-9.93,
5377,-10.16,
5416,-10.16,
5456,-10.18,
5496,-10.5,
5536,-10.48,
5575,-10.65,
5615,-10.73,
5655,-10.78,
5695,-11.02,
5734,-11.11,
5774,-11.14,
5814,-11.34,
5854,-11.35,
5893,-11.67,
5933,-11.63,
5973,-11.47,
6013,-11.55,
6052,-11.75,
6092,-12.01,
6132,-12.1,
6172,-11.99,
6211,-11.77,
6251,-11.77,
6291,-12,
6331,-12.02,
6370,-12.18,
6410,-12.14,
6450,-11.99,
6490,-12.07,
6529,-11.93,
6569,-11.93,
6609,-12.03,
6649,-12.12,
6688,-12.16,
6728,-11.99,
6768,-11.91,
6808,-11.88,
6847,-12.09,
6887,-12.11,
6927,-12.08,
6967,-12.13,
7006,-11.99,
7046,-12.15,
7086,-12.2,
7126,-12.19,
7165,-12.42,
7205,-12.52,
7245,-12.46,
7285,-12.44,
7324,-12.61,
7364,-12.68,
7404,-12.88,
7444,-13.16,
7483,-12.99,
7523,-13.16,
7563,-13.21,
7603,-13.1,
7642,-13.38,
7682,-13.47,
7722,-13.7,
7762,-13.88,
7801,-13.59,
7841,-13.63,
7881,-13.55,
7921,-13.59,
7960,-13.88,
8000,-13.88,
